,timestamp,hero,villain,market,line,line_type,price,hero_score,villain_score
0,2022-11-04 16:27:29.166790,Valencia,Olympiakos,SPREAD,7.5,favorite,-120,72,79
1,2022-11-04 16:27:29.166790,Olympiakos,Valencia,SPREAD,7.5,favorite,-110,79,72
2,2022-11-04 16:27:29.166790,Valencia,Olympiakos,WIN,,,+725,72,79
3,2022-11-04 16:27:29.166790,Olympiakos,Valencia,WIN,,,-1800,79,72
4,2022-11-04 16:27:29.166790,Valencia,Olympiakos,TOTAL,7.5,favorite,-110,72,79
5,2022-11-04 16:27:29.166790,Olympiakos,Valencia,TOTAL,7.5,favorite,-120,79,72
