,timestamp,hero,villain,market,line,line_type,price,hero_score,villain_score
0,2022-11-04 16:22:02.757012,Valencia,Olympiakos,SPREAD,10.5,favorite,-120,62,73
1,2022-11-04 16:22:02.757012,Olympiakos,Valencia,SPREAD,10.5,favorite,-110,73,62
2,2022-11-04 16:22:02.757012,Valencia,Olympiakos,WIN,,,+1200,62,73
3,2022-11-04 16:22:02.757012,Olympiakos,Valencia,WIN,,,-3300,73,62
4,2022-11-04 16:22:02.757012,Valencia,Olympiakos,TOTAL,10.5,favorite,+110,62,73
5,2022-11-04 16:22:02.757012,Olympiakos,Valencia,TOTAL,10.5,favorite,-145,73,62
6,2022-11-04 16:22:02.849538,Fenerbahce,Barcelona,SPREAD,4.5,favorite,-105,36,39
7,2022-11-04 16:22:02.849538,Barcelona,Fenerbahce,SPREAD,4.5,favorite,-125,39,36
8,2022-11-04 16:22:02.849538,Fenerbahce,Barcelona,WIN,,,+220,36,39
9,2022-11-04 16:22:02.849538,Barcelona,Fenerbahce,WIN,,,-300,39,36
10,2022-11-04 16:22:02.849538,Fenerbahce,Barcelona,TOTAL,4.5,favorite,+115,36,39
11,2022-11-04 16:22:02.849538,Barcelona,Fenerbahce,TOTAL,4.5,favorite,-150,39,36
12,2022-11-04 16:22:02.945626,ASVEL Basket,Virtus Bologna,SPREAD,7.5,favorite,-120,18,22
13,2022-11-04 16:22:02.945626,Virtus Bologna,ASVEL Basket,SPREAD,7.5,favorite,-110,22,18
14,2022-11-04 16:22:02.945626,ASVEL Basket,Virtus Bologna,WIN,,,+260,18,22
15,2022-11-04 16:22:02.945626,Virtus Bologna,ASVEL Basket,WIN,,,-370,22,18
16,2022-11-04 16:22:02.945626,ASVEL Basket,Virtus Bologna,TOTAL,7.5,favorite,-115,18,22
17,2022-11-04 16:22:02.945626,Virtus Bologna,ASVEL Basket,TOTAL,7.5,favorite,-115,22,18
18,2022-11-04 16:22:03.050489,Crvena Zvezda,AS Monaco,SPREAD,7.5,favorite,-130,19,17
19,2022-11-04 16:22:03.050489,AS Monaco,Crvena Zvezda,SPREAD,7.5,favorite,EVEN,17,19
20,2022-11-04 16:22:03.050489,Crvena Zvezda,AS Monaco,WIN,,,+260,19,17
21,2022-11-04 16:22:03.050489,AS Monaco,Crvena Zvezda,WIN,,,-360,17,19
22,2022-11-04 16:22:03.050489,Crvena Zvezda,AS Monaco,TOTAL,7.5,favorite,-135,19,17
23,2022-11-04 16:22:03.050489,AS Monaco,Crvena Zvezda,TOTAL,7.5,favorite,+105,17,19
24,2022-11-04 16:22:03.148652,ADA Blois,BCM Gravelines-Dunkerque,SPREAD,10.5,underdog,-120,87,73
25,2022-11-04 16:22:03.148652,BCM Gravelines-Dunkerque,ADA Blois,SPREAD,10.5,underdog,-110,73,87
26,2022-11-04 16:22:03.148652,ADA Blois,BCM Gravelines-Dunkerque,WIN,,,-5000,87,73
27,2022-11-04 16:22:03.148652,BCM Gravelines-Dunkerque,ADA Blois,WIN,,,+1400,73,87
28,2022-11-04 16:22:03.148652,ADA Blois,BCM Gravelines-Dunkerque,TOTAL,10.5,underdog,-105,87,73
29,2022-11-04 16:22:03.148652,BCM Gravelines-Dunkerque,ADA Blois,TOTAL,10.5,underdog,-125,73,87
30,2022-11-04 16:22:03.250128,Nanterre,ESSM Le Portel,SPREAD,6.5,favorite,+110,57,65
31,2022-11-04 16:22:03.250128,ESSM Le Portel,Nanterre,SPREAD,6.5,favorite,-145,65,57
32,2022-11-04 16:22:03.250128,Nanterre,ESSM Le Portel,WIN,,,+675,57,65
33,2022-11-04 16:22:03.250128,ESSM Le Portel,Nanterre,WIN,,,-1100,65,57
34,2022-11-04 16:22:03.250128,Nanterre,ESSM Le Portel,TOTAL,6.5,favorite,+120,57,65
35,2022-11-04 16:22:03.250128,ESSM Le Portel,Nanterre,TOTAL,6.5,favorite,-155,65,57
36,2022-11-04 16:22:03.365472,Limoges CSP,Metropolitans 92,SPREAD,17.5,favorite,-125,24,42
37,2022-11-04 16:22:03.365472,Metropolitans 92,Limoges CSP,SPREAD,17.5,favorite,-105,42,24
38,2022-11-04 16:22:03.365472,Limoges CSP,Metropolitans 92,WIN,,,+1500,24,42
39,2022-11-04 16:22:03.365472,Metropolitans 92,Limoges CSP,WIN,,,-6600,42,24
40,2022-11-04 16:22:03.365472,Limoges CSP,Metropolitans 92,TOTAL,17.5,favorite,EVEN,24,42
41,2022-11-04 16:22:03.365472,Metropolitans 92,Limoges CSP,TOTAL,17.5,favorite,-130,42,24
42,2022-11-04 16:22:03.487911,ALM Évreux,Lille MBC,SPREAD,18.5,favorite,-150,64,82
43,2022-11-04 16:22:03.487911,Lille MBC,ALM Évreux,SPREAD,18.5,favorite,+105,82,64
44,2022-11-04 16:22:03.487911,ALM Évreux,Lille MBC,WIN,,,+1500,64,82
45,2022-11-04 16:22:03.487911,Lille MBC,ALM Évreux,WIN,,,-7500,82,64
46,2022-11-04 16:22:03.487911,ALM Évreux,Lille MBC,TOTAL,18.5,favorite,-120,64,82
47,2022-11-04 16:22:03.487911,Lille MBC,ALM Évreux,TOTAL,18.5,favorite,-120,82,64
48,2022-11-04 16:22:03.609237,Chalons Reims,Aix Maurienne,SPREAD,7.5,underdog,-120,66,60
49,2022-11-04 16:22:03.609237,Aix Maurienne,Chalons Reims,SPREAD,7.5,underdog,-120,60,66
50,2022-11-04 16:22:03.609237,Chalons Reims,Aix Maurienne,WIN,,,-750,66,60
51,2022-11-04 16:22:03.609237,Aix Maurienne,Chalons Reims,WIN,,,+425,60,66
52,2022-11-04 16:22:03.609237,Chalons Reims,Aix Maurienne,TOTAL,7.5,underdog,-125,66,60
53,2022-11-04 16:22:03.609237,Aix Maurienne,Chalons Reims,TOTAL,7.5,underdog,-115,60,66
54,2022-11-04 16:22:03.731536,Etoile Angers Basket,Stade Rochelais,SPREAD,18.5,underdog,-135,61,39
55,2022-11-04 16:22:03.731536,Stade Rochelais,Etoile Angers Basket,SPREAD,18.5,underdog,-105,39,61
56,2022-11-04 16:22:03.731536,Etoile Angers Basket,Stade Rochelais,WIN,,,-10000,61,39
57,2022-11-04 16:22:03.731536,Stade Rochelais,Etoile Angers Basket,WIN,,,+1700,39,61
58,2022-11-04 16:22:03.731536,Etoile Angers Basket,Stade Rochelais,TOTAL,18.5,underdog,-140,61,39
59,2022-11-04 16:22:03.731536,Stade Rochelais,Etoile Angers Basket,TOTAL,18.5,underdog,EVEN,39,61
60,2022-11-04 16:22:03.850718,Saint-Quentin,Alliance Sport Alsace,SPREAD,2.5,underdog,EVEN,61,59
61,2022-11-04 16:22:03.850718,Alliance Sport Alsace,Saint-Quentin,SPREAD,2.5,underdog,-140,59,61
62,2022-11-04 16:22:03.850718,Saint-Quentin,Alliance Sport Alsace,WIN,,,-160,61,59
63,2022-11-04 16:22:03.850718,Alliance Sport Alsace,Saint-Quentin,WIN,,,+115,59,61
64,2022-11-04 16:22:03.850718,Saint-Quentin,Alliance Sport Alsace,TOTAL,2.5,underdog,+110,61,59
65,2022-11-04 16:22:03.850718,Alliance Sport Alsace,Saint-Quentin,TOTAL,2.5,underdog,-155,59,61
66,2022-11-04 16:22:03.985509,Boulazac,Antibes Sharks,SPREAD,3.5,favorite,-115,35,38
67,2022-11-04 16:22:03.985509,Antibes Sharks,Boulazac,SPREAD,3.5,favorite,-125,38,35
68,2022-11-04 16:22:03.985509,Boulazac,Antibes Sharks,WIN,,,+155,35,38
69,2022-11-04 16:22:03.985509,Antibes Sharks,Boulazac,WIN,,,-225,38,35
70,2022-11-04 16:22:03.985509,Boulazac,Antibes Sharks,TOTAL,3.5,favorite,-120,35,38
71,2022-11-04 16:22:03.985509,Antibes Sharks,Boulazac,TOTAL,3.5,favorite,-120,38,35
72,2022-11-04 16:22:04.107397,Saint-Chamond,Vichy-Clermont Métropole,SPREAD,11.5,underdog,-120,49,35
73,2022-11-04 16:22:04.107397,Vichy-Clermont Métropole,Saint-Chamond,SPREAD,11.5,underdog,-120,35,49
74,2022-11-04 16:22:04.107397,Saint-Chamond,Vichy-Clermont Métropole,WIN,,,-1100,49,35
75,2022-11-04 16:22:04.107397,Vichy-Clermont Métropole,Saint-Chamond,WIN,,,+550,35,49
