,timestamp,hero,villain,market,line,line_type,price,match_id,league,sport,hero_score,villain_score
0,2022-11-04 16:46:20.474214,Valencia,Olympiakos,SPREAD,4.5,favorite,-135,valencia-olympiakos-202211041500,euroleague,basketball,80,82
1,2022-11-04 16:46:20.474214,Olympiakos,Valencia,SPREAD,4.5,favorite,+105,valencia-olympiakos-202211041500,euroleague,basketball,82,80
2,2022-11-04 16:46:20.474214,Valencia,Olympiakos,WIN,,,+190,valencia-olympiakos-202211041500,euroleague,basketball,80,82
3,2022-11-04 16:46:20.474214,Olympiakos,Valencia,WIN,,,-260,valencia-olympiakos-202211041500,euroleague,basketball,82,80
4,2022-11-04 16:46:20.474214,Valencia,Olympiakos,TOTAL,4.5,favorite,-115,valencia-olympiakos-202211041500,euroleague,basketball,80,82
5,2022-11-04 16:46:20.474214,Olympiakos,Valencia,TOTAL,4.5,favorite,-115,valencia-olympiakos-202211041500,euroleague,basketball,82,80
6,2022-11-04 16:46:20.583583,Fenerbahce,Barcelona,SPREAD,8.5,favorite,-120,fenerbahce-barcelona-202211041530,euroleague,basketball,42,50
7,2022-11-04 16:46:20.583583,Barcelona,Fenerbahce,SPREAD,8.5,favorite,-110,fenerbahce-barcelona-202211041530,euroleague,basketball,50,42
8,2022-11-04 16:46:20.583583,Fenerbahce,Barcelona,WIN,,,+475,fenerbahce-barcelona-202211041530,euroleague,basketball,42,50
9,2022-11-04 16:46:20.583583,Barcelona,Fenerbahce,WIN,,,-800,fenerbahce-barcelona-202211041530,euroleague,basketball,50,42
10,2022-11-04 16:46:20.583583,Fenerbahce,Barcelona,TOTAL,8.5,favorite,-115,fenerbahce-barcelona-202211041530,euroleague,basketball,42,50
11,2022-11-04 16:46:20.583583,Barcelona,Fenerbahce,TOTAL,8.5,favorite,-115,fenerbahce-barcelona-202211041530,euroleague,basketball,50,42
12,2022-11-04 16:46:20.715757,ASVEL Basket,Virtus Bologna,SPREAD,14.5,favorite,-115,asvel-basket-virtus-bologna-202211041600,euroleague,basketball,33,48
13,2022-11-04 16:46:20.715757,Virtus Bologna,ASVEL Basket,SPREAD,14.5,favorite,-115,asvel-basket-virtus-bologna-202211041600,euroleague,basketball,48,33
14,2022-11-04 16:46:20.715757,ASVEL Basket,Virtus Bologna,WIN,,,+1200,asvel-basket-virtus-bologna-202211041600,euroleague,basketball,33,48
15,2022-11-04 16:46:20.715757,Virtus Bologna,ASVEL Basket,WIN,,,-3300,asvel-basket-virtus-bologna-202211041600,euroleague,basketball,48,33
16,2022-11-04 16:46:20.715757,ASVEL Basket,Virtus Bologna,TOTAL,14.5,favorite,EVEN,asvel-basket-virtus-bologna-202211041600,euroleague,basketball,33,48
17,2022-11-04 16:46:20.715757,Virtus Bologna,ASVEL Basket,TOTAL,14.5,favorite,-130,asvel-basket-virtus-bologna-202211041600,euroleague,basketball,48,33
18,2022-11-04 16:46:20.863953,Crvena Zvezda,AS Monaco,SPREAD,8.5,favorite,-115,crvena-zvezda-as-monaco-202211041600,euroleague,basketball,31,36
19,2022-11-04 16:46:20.863953,AS Monaco,Crvena Zvezda,SPREAD,8.5,favorite,-115,crvena-zvezda-as-monaco-202211041600,euroleague,basketball,36,31
20,2022-11-04 16:46:20.863953,Crvena Zvezda,AS Monaco,WIN,,,+400,crvena-zvezda-as-monaco-202211041600,euroleague,basketball,31,36
21,2022-11-04 16:46:20.863953,AS Monaco,Crvena Zvezda,WIN,,,-650,crvena-zvezda-as-monaco-202211041600,euroleague,basketball,36,31
22,2022-11-04 16:46:20.863953,Crvena Zvezda,AS Monaco,TOTAL,8.5,favorite,-120,crvena-zvezda-as-monaco-202211041600,euroleague,basketball,31,36
23,2022-11-04 16:46:20.863953,AS Monaco,Crvena Zvezda,TOTAL,8.5,favorite,-110,crvena-zvezda-as-monaco-202211041600,euroleague,basketball,36,31
24,2022-11-04 16:46:21.017880,Limoges CSP,Metropolitans 92,SPREAD,13.5,favorite,EVEN,limoges-csp-metropolitans-92-202211041530,lnb-pro-a,basketball,38,52
