,timestamp,hero,villain,market,line,line_type,price,match_id,league,sport,hero_score,villain_score
0,2022-11-07 17:28:34.349469,ASP Municipal U19,Fluminense U19,TOTAL,13.5,underdog,-140,fluminense-u19-asp-municipal-u19-202211071700,campeonato-carioca-u19,basketball,13,22
1,2022-11-07 17:28:34.558397,BKN Nets (ICEMAN),LA Lakers (PUMA),TOTAL,11.5,favorite,-115,la-lakers-puma-bkn-nets-iceman-202211071647,ebasketball-h2h-gg-league-4x5mins,basketball,67,55
2,2022-11-07 17:28:34.767391,PHX Suns (SPARKZ),MIL Bucks (Active PG),TOTAL,2.5,underdog,-120,mil-bucks-active-pg-phx-suns-sparkz-202211071718,ebasketball-h2h-gg-league-4x5mins,basketball,31,37
3,2022-11-07 17:28:34.979326,PHX Suns (Pakapaka),LA Clippers (Adza),WIN,12.5,favorite,-130,la-clippers-adza-phx-suns-pakapaka-202211071720,ebasketball-battle-4x5mins,basketball,21,10
4,2022-11-07 17:28:35.193813,PHI 76ers (SpicyP),UTA Jazz (Djapacmeister),TOTAL,12.5,favorite,EVEN,uta-jazz-djapacmeister-phi-76ers-spicyp-202211071720,ebasketball-battle-4x5mins,basketball,26,11
5,2022-11-07 17:28:35.376434,Charlotte Hornets,Washington Wizards,TOTAL,1.5,favorite,-110,washington-wizards-charlotte-hornets-202211071900,nba,basketball,,
6,2022-11-07 17:28:35.561482,Orlando Magic,Houston Rockets,TOTAL,5.0,favorite,-110,houston-rockets-orlando-magic-202211071915,nba,basketball,,
7,2022-11-07 17:28:35.744016,Detroit Pistons,Oklahoma City Thunder,TOTAL,2.0,underdog,-110,oklahoma-city-thunder-detroit-pistons-202211071930,nba,basketball,,
8,2022-11-07 17:28:35.923081,Indiana Pacers,New Orleans Pelicans,TOTAL,5.0,underdog,-110,new-orleans-pelicans-indiana-pacers-202211071945,nba,basketball,,
9,2022-11-07 17:28:36.087433,Philadelphia 76ers,Phoenix Suns,TOTAL,2.5,underdog,-110,phoenix-suns-philadelphia-76ers-202211072000,nba,basketball,,
10,2022-11-07 17:28:36.266442,Atlanta Hawks,Milwaukee Bucks,TOTAL,4.0,underdog,-110,milwaukee-bucks-atlanta-hawks-202211072015,nba,basketball,,
11,2022-11-07 17:28:36.483503,Miami Heat,Portland Trail Blazers,TOTAL,6.0,favorite,-110,portland-trail-blazers-miami-heat-202211072030,nba,basketball,,
12,2022-11-07 17:28:36.668547,Chicago Bulls,Toronto Raptors,TOTAL,2.0,favorite,-110,toronto-raptors-chicago-bulls-202211072045,nba,basketball,,
13,2022-11-07 17:28:36.884432,Memphis Grizzlies,Boston Celtics,TOTAL,3.5,underdog,-110,boston-celtics-memphis-grizzlies-202211072100,nba,basketball,,
14,2022-11-07 17:28:37.085125,Minnesota Timberwolves,New York Knicks,TOTAL,2.5,favorite,-110,new-york-knicks-minnesota-timberwolves-202211072115,nba,basketball,,
15,2022-11-07 17:28:37.250327,San Antonio Spurs,Denver Nuggets,TOTAL,7.5,underdog,-110,denver-nuggets-san-antonio-spurs-202211072130,nba,basketball,,
16,2022-11-07 17:28:37.458897,Dallas Mavericks,Brooklyn Nets,TOTAL,6.0,favorite,-110,brooklyn-nets-dallas-mavericks-202211072145,nba,basketball,,
17,2022-11-07 17:28:37.677899,Golden State Warriors,Sacramento Kings,TOTAL,8.0,favorite,-110,sacramento-kings-golden-state-warriors-202211072200,nba,basketball,,
18,2022-11-07 17:28:37.898396,Utah Jazz,Los Angeles Lakers,TOTAL,6.5,favorite,-110,los-angeles-lakers-utah-jazz-202211072215,nba,basketball,,
19,2022-11-07 17:28:38.131837,L.A. Clippers,Cleveland Cavaliers,TOTAL,5.0,underdog,-110,cleveland-cavaliers-l-a-clippers-202211072230,nba,basketball,,
20,2022-11-07 17:28:38.344784,Charlotte,Coppin State,WIN,10.5,favorite,-110,coppin-state-charlotte-202211071800,college-basketball,basketball,,
