,timestamp,hero,villain,market,line,line_type,price,hero_score,villain_score
0,2022-11-04 16:27:21.573606,Valencia,Olympiakos,SPREAD,7.5,favorite,-120,72,79
1,2022-11-04 16:27:21.573606,Olympiakos,Valencia,SPREAD,7.5,favorite,-110,79,72
2,2022-11-04 16:27:21.573606,Valencia,Olympiakos,WIN,,,+725,72,79
3,2022-11-04 16:27:21.573606,Olympiakos,Valencia,WIN,,,-1800,79,72
4,2022-11-04 16:27:21.573606,Valencia,Olympiakos,TOTAL,7.5,favorite,-110,72,79
5,2022-11-04 16:27:21.573606,Olympiakos,Valencia,TOTAL,7.5,favorite,-120,79,72
6,2022-11-04 16:27:21.684703,Fenerbahce,Barcelona,SPREAD,4.5,favorite,-105,36,39
7,2022-11-04 16:27:21.684703,Barcelona,Fenerbahce,SPREAD,4.5,favorite,-125,39,36
8,2022-11-04 16:27:21.684703,Fenerbahce,Barcelona,WIN,,,+220,36,39
9,2022-11-04 16:27:21.684703,Barcelona,Fenerbahce,WIN,,,-300,39,36
10,2022-11-04 16:27:21.684703,Fenerbahce,Barcelona,TOTAL,4.5,favorite,-115,36,39
11,2022-11-04 16:27:21.684703,Barcelona,Fenerbahce,TOTAL,4.5,favorite,-115,39,36
12,2022-11-04 16:27:21.800149,ASVEL Basket,Virtus Bologna,SPREAD,9.5,favorite,+110,21,32
13,2022-11-04 16:27:21.800149,Virtus Bologna,ASVEL Basket,SPREAD,9.5,favorite,-145,32,21
14,2022-11-04 16:27:21.800149,ASVEL Basket,Virtus Bologna,WIN,,,+475,21,32
15,2022-11-04 16:27:21.800149,Virtus Bologna,ASVEL Basket,WIN,,,-900,32,21
16,2022-11-04 16:27:21.800149,ASVEL Basket,Virtus Bologna,TOTAL,9.5,favorite,-130,21,32
17,2022-11-04 16:27:21.800149,Virtus Bologna,ASVEL Basket,TOTAL,9.5,favorite,EVEN,32,21
18,2022-11-04 16:27:21.916710,Crvena Zvezda,AS Monaco,SPREAD,8.5,favorite,-115,20,22
19,2022-11-04 16:27:21.916710,AS Monaco,Crvena Zvezda,SPREAD,8.5,favorite,-115,22,20
20,2022-11-04 16:27:21.916710,Crvena Zvezda,AS Monaco,WIN,,,+320,20,22
21,2022-11-04 16:27:21.916710,AS Monaco,Crvena Zvezda,WIN,,,-475,22,20
22,2022-11-04 16:27:21.916710,Crvena Zvezda,AS Monaco,TOTAL,8.5,favorite,-105,20,22
23,2022-11-04 16:27:21.916710,AS Monaco,Crvena Zvezda,TOTAL,8.5,favorite,-125,22,20
24,2022-11-04 16:27:22.128451,ADA Blois,BCM Gravelines-Dunkerque,SPREAD,9.5,underdog,-145,91,81
25,2022-11-04 16:27:22.128451,BCM Gravelines-Dunkerque,ADA Blois,SPREAD,9.5,underdog,+110,81,91
26,2022-11-04 16:27:22.128451,ADA Blois,BCM Gravelines-Dunkerque,WIN,,,-7500,91,81
27,2022-11-04 16:27:22.128451,BCM Gravelines-Dunkerque,ADA Blois,WIN,,,+1600,81,91
28,2022-11-04 16:27:22.128451,ADA Blois,BCM Gravelines-Dunkerque,TOTAL,9.5,underdog,-105,91,81
29,2022-11-04 16:27:22.128451,BCM Gravelines-Dunkerque,ADA Blois,TOTAL,9.5,underdog,-125,81,91
30,2022-11-04 16:27:22.247642,Nanterre,ESSM Le Portel,SPREAD,10.5,favorite,-115,60,72
31,2022-11-04 16:27:22.247642,ESSM Le Portel,Nanterre,SPREAD,10.5,favorite,-115,72,60
32,2022-11-04 16:27:22.247642,Nanterre,ESSM Le Portel,WIN,,,+1700,60,72
33,2022-11-04 16:27:22.247642,ESSM Le Portel,Nanterre,WIN,,,-7500,72,60
