,match_id,league,sport,comp_names,results_value,timestamp,hero,villain,market,line,line_type,price,hero_score,villain_score
23,olimpia-kings-deportivo-san-jose-202211071730,paraguay-championship,basketball,"['Olimpia Kings', 'Deportivo San Jose']","['42', '51']",2022-11-07 18:32:24.476200,Deportivo San Jose,Olimpia Kings,TOTAL,9.5,favorite,-155,51,42
24,bkn-nets-iceman-gs-warriors-clamps-202211071812,ebasketball-h2h-gg-league-4x5mins,basketball,"['BKN Nets (ICEMAN)', 'GS Warriors (CLAMPS)']","['55', '61']",2022-11-07 18:32:24.578950,BKN Nets (ICEMAN),GS Warriors (CLAMPS),SPREAD,2.5,favorite,-105,55,61
25,bkn-nets-iceman-gs-warriors-clamps-202211071812,ebasketball-h2h-gg-league-4x5mins,basketball,"['BKN Nets (ICEMAN)', 'GS Warriors (CLAMPS)']","['55', '61']",2022-11-07 18:32:24.578950,GS Warriors (CLAMPS),BKN Nets (ICEMAN),SPREAD,2.5,favorite,-135,61,55
26,bkn-nets-iceman-gs-warriors-clamps-202211071812,ebasketball-h2h-gg-league-4x5mins,basketball,"['BKN Nets (ICEMAN)', 'GS Warriors (CLAMPS)']","['55', '61']",2022-11-07 18:32:24.578950,BKN Nets (ICEMAN),GS Warriors (CLAMPS),WIN,,,+180,55,61
27,bkn-nets-iceman-gs-warriors-clamps-202211071812,ebasketball-h2h-gg-league-4x5mins,basketball,"['BKN Nets (ICEMAN)', 'GS Warriors (CLAMPS)']","['55', '61']",2022-11-07 18:32:24.578950,GS Warriors (CLAMPS),BKN Nets (ICEMAN),WIN,,,-265,61,55
28,bkn-nets-iceman-gs-warriors-clamps-202211071812,ebasketball-h2h-gg-league-4x5mins,basketball,"['BKN Nets (ICEMAN)', 'GS Warriors (CLAMPS)']","['55', '61']",2022-11-07 18:32:24.578950,BKN Nets (ICEMAN),GS Warriors (CLAMPS),TOTAL,2.5,favorite,+110,55,61
29,bkn-nets-iceman-gs-warriors-clamps-202211071812,ebasketball-h2h-gg-league-4x5mins,basketball,"['BKN Nets (ICEMAN)', 'GS Warriors (CLAMPS)']","['55', '61']",2022-11-07 18:32:24.578950,GS Warriors (CLAMPS),BKN Nets (ICEMAN),TOTAL,2.5,favorite,-155,61,55
30,mil-bucks-active-pg-bos-celtics-shinigami-202211071822,ebasketball-h2h-gg-league-4x5mins,basketball,"['MIL Bucks (Active PG)', 'BOS Celtics (SHINIGAMI)']","['33', '12']",2022-11-07 18:32:24.713424,MIL Bucks (Active PG),BOS Celtics (SHINIGAMI),SPREAD,17.5,underdog,-125,33,12
31,mil-bucks-active-pg-bos-celtics-shinigami-202211071822,ebasketball-h2h-gg-league-4x5mins,basketball,"['MIL Bucks (Active PG)', 'BOS Celtics (SHINIGAMI)']","['33', '12']",2022-11-07 18:32:24.713424,BOS Celtics (SHINIGAMI),MIL Bucks (Active PG),SPREAD,17.5,underdog,-115,12,33
32,mil-bucks-active-pg-bos-celtics-shinigami-202211071822,ebasketball-h2h-gg-league-4x5mins,basketball,"['MIL Bucks (Active PG)', 'BOS Celtics (SHINIGAMI)']","['33', '12']",2022-11-07 18:32:24.713424,MIL Bucks (Active PG),BOS Celtics (SHINIGAMI),WIN,,,-1000,33,12
33,mil-bucks-active-pg-bos-celtics-shinigami-202211071822,ebasketball-h2h-gg-league-4x5mins,basketball,"['MIL Bucks (Active PG)', 'BOS Celtics (SHINIGAMI)']","['33', '12']",2022-11-07 18:32:24.713424,BOS Celtics (SHINIGAMI),MIL Bucks (Active PG),WIN,,,+500,12,33
34,mil-bucks-active-pg-bos-celtics-shinigami-202211071822,ebasketball-h2h-gg-league-4x5mins,basketball,"['MIL Bucks (Active PG)', 'BOS Celtics (SHINIGAMI)']","['33', '12']",2022-11-07 18:32:24.713424,MIL Bucks (Active PG),BOS Celtics (SHINIGAMI),TOTAL,17.5,underdog,-130,33,12
35,mil-bucks-active-pg-bos-celtics-shinigami-202211071822,ebasketball-h2h-gg-league-4x5mins,basketball,"['MIL Bucks (Active PG)', 'BOS Celtics (SHINIGAMI)']","['33', '12']",2022-11-07 18:32:24.713424,BOS Celtics (SHINIGAMI),MIL Bucks (Active PG),TOTAL,17.5,underdog,-110,12,33
36,la-lakers-eza-gs-warriors-spooky-202211071832,ebasketball-h2h-gg-league-4x5mins,basketball,"['LA Lakers (EZA)', 'GS Warriors (SPOOKY)']","['0', '0']",2022-11-07 18:32:24.860477,LA Lakers (EZA),GS Warriors (SPOOKY),SPREAD,4.5,underdog,-150,0,0
37,la-lakers-eza-gs-warriors-spooky-202211071832,ebasketball-h2h-gg-league-4x5mins,basketball,"['LA Lakers (EZA)', 'GS Warriors (SPOOKY)']","['0', '0']",2022-11-07 18:32:24.860477,GS Warriors (SPOOKY),LA Lakers (EZA),SPREAD,4.5,underdog,+105,0,0
38,la-lakers-eza-gs-warriors-spooky-202211071832,ebasketball-h2h-gg-league-4x5mins,basketball,"['LA Lakers (EZA)', 'GS Warriors (SPOOKY)']","['0', '0']",2022-11-07 18:32:24.860477,LA Lakers (EZA),GS Warriors (SPOOKY),WIN,,,-280,0,0
39,la-lakers-eza-gs-warriors-spooky-202211071832,ebasketball-h2h-gg-league-4x5mins,basketball,"['LA Lakers (EZA)', 'GS Warriors (SPOOKY)']","['0', '0']",2022-11-07 18:32:24.860477,GS Warriors (SPOOKY),LA Lakers (EZA),WIN,,,+190,0,0
40,la-lakers-eza-gs-warriors-spooky-202211071832,ebasketball-h2h-gg-league-4x5mins,basketball,"['LA Lakers (EZA)', 'GS Warriors (SPOOKY)']","['0', '0']",2022-11-07 18:32:24.860477,LA Lakers (EZA),GS Warriors (SPOOKY),TOTAL,4.5,underdog,-120,0,0
